Season,Historical school name,Resolution,Assigned district,Newspaper verification
2015,Eleanor McMain,Historical assignment,11-3A,Recommended
2015,Fair Park,Historical assignment,1-4A,Recommended
2015,George Washington Carver High School,Alias of George Washington Carver,9-4A,Not needed
2015,Grambling,Historical assignment,1-1A,Recommended
2015,Hamilton Christian,Historical assignment,4-1A,Verified
2015,Landry-Walker,Historical assignment,8-5A,Verified
2015,McDonogh 35,Alias of McDonogh #35,9-4A,Not needed
2015,South Cameron,Historical assignment,4-1A,Verified
2015,Tensas,Historical assignment,2-1A,Recommended
2015,Woodlawn-B.R.,Alias of Woodlawn - B.R.,4-5A,Not needed
2016,Comeaux,Recovered from reciprocal games,3-5A,Verified
2016,Eleanor McMain,Historical assignment,11-3A,Recommended
2016,False River,Historical assignment,5-1A,Verified
2016,South Cameron,Historical assignment,4-1A,Recommended
2016,St. Helena,Alias of St. Helena College & Career Acad.,10-2A,Not needed
2016,Tensas,Historical assignment,2-1A,Recommended
2017,Comeaux,Recovered from reciprocal games,3-5A,Verified
2017,Frederick A Douglass,Historical assignment,9-3A,Verified
2017,Helen Cox,Historical assignment,9-4A,Verified
2017,Sicily Island,Historical assignment,2-1A,Verified
2017,St. Helena,Alias of St. Helena College & Career Acad.,10-2A,Not needed
2017,Tensas,Historical assignment,2-1A,Recommended
2018,Cohen College Prep,Historical assignment,9-3A,Recommended
2018,Comeaux,Recovered from reciprocal games,3-5A,Verified
2018,Frederick A Douglass,Historical assignment,9-3A,Verified
2018,Helen Cox,Historical assignment,9-4A,Verified
2018,Sicily Island,Historical assignment,2-1A,Verified
2018,St. Helena,Alias of St. Helena College & Career Acad.,10-2A,Not needed
2018,Tensas,Historical assignment,2-1A,Recommended
2019,Comeaux,Recovered from reciprocal games,3-5A,Verified
2019,Frederick A Douglass,Historical assignment,9-3A,Verified
2019,Hamilton Christian,Historical assignment,4-1A,Verified
2019,St. Helena,Alias of St. Helena College & Career Acad.,10-2A,Not needed
2020,Booker T. Washington - 18 N.O.,OCR alias of Booker T. Washington - N.O.,10-3A,Not needed
2020,George Washington 7 Carver,OCR alias of George Washington Carver,9-4A,Not needed
2020,Hamilton Christian,Historical assignment,4-1A,Verified
2020,John Curtis 7 Christian,OCR alias of John Curtis Christian,9-5A,Not needed
2020,L ogansport,OCR alias of Logansport,3-1A,Not needed
2020,Lake Charles College 3 Prep,OCR alias of Lake Charles College Prep,3-4A,Not needed
2020,Landry-Walker,Historical assignment,9-4A,Recommended
2020,Ouachita 3 Christian,OCR alias of Ouachita Christian,2-1A,Not needed
2020,P laquemine,OCR alias of Plaquemine,6-4A,Not needed
2020,Riverside 7 Academy,OCR alias of Riverside Academy,10-1A,Not needed
2020,Slaughter Community 18 Charter,OCR alias of Slaughter Community Charter,9-2A,Not needed
2020,St. Helena College & 4 Career Acad.,OCR alias of St. Helena College & Career Acad.,10-2A,Not needed
2020,St. Michael the 13 Archangel,OCR alias of St. Michael the Archangel,6-4A,Not needed
2020,St. Thomas 7 Aquinas,OCR alias of St. Thomas Aquinas,10-2A,Not needed
2020,Tensas,Historical assignment,2-1A,Recommended
2021,Frederick A Douglass,Historical assignment,9-3A,Recommended
2021,Hamilton Christian,Historical assignment,4-1A,Verified
2021,Kenner Discovery,Alias of Kenner Discovery Health Science,10-4A,Not needed
2021,Magnolia School,Alias of Magnolia School of Excellence,1-2A,Not needed
2021,St. Helena,Alias of St. Helena College & Career Acad.,10-2A,Not needed
